PREREQUISITE	TARGET
NETWORK	METROPOLITAN AREA NETWORK
MESSAGE	HOP COUNT
FOUR-LEVEL HIERARCHY	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE
MESSAGE	PUBLIC-KEY ENCRYPTION
ETHERNET	CARRIER SENSE
NETWORKING SYSTEM	ETHERNET NETWORK
STANDARD	ETHERNET
NETWORK	MALICIOUS SOFTWARE
MESSAGE	COLLISION AVOIDANCE
DOMAIN	REGISTRAR
PHONE NETWORK	1G
INTERNET SERVICE PROVIDER	TIER-1 INTERNET SERVICE PROVIDER
ACCESS INTERNET SERVICE PROVIDER	NAME SERVER
FORWARD PROCESS	HOP COUNT
STAR NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE
NETWORK	WORM
PREVENTATIVE TOOL	PROXY SERVER
ACTIVE SERVER PAGE	ASP
EMAIL MESSAGE	SPAM
MACHINE	DISTRIBUTED SYSTEM
ETHERNET	SWITCH
COMPUTER	BUS
NETWORK PROTOCOL	DOMAIN NAME SYSTEM
COMPUTER	HUB
MASS STORAGE	FILE SERVER
SEMANTIC-ORIENTED TAG	WORLD WIDE SEMANTIC WEB
DECRYPT	PRIVATE-KEY
SOFTWARE	GLOBAL INFORMATION RETRIEVAL SYSTEM
SMARTPHONES	4G
BUS	SHORT BUS
EMAIL	INTERNET MAIL ACCESS PROTOCOL
SERVER	MAIL SERVER
STANDARD	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE
PEER-TO-PEER MODEL	VOICE OVER INTERNET PROTOCOL
SPYWARE	SNIFFING SOFTWARE
MACHINE	CENTRAL MACHINE
MESSAGE	PROXY SERVER
INTERNET PROTOCOL	INTERNET PROTOCOL VERSION FOUR
INTERNET	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK
CLIENT	APPLICATION LAYER
COMPUTER	4G
INTERNET	INTERNET SOFTWARE
PUBLIC-KEY ENCRYPTION SYSTEM	PRIVATE-KEY
COMPUTER	STAR NETWORK
SERVER SIDE	INTERNET PROTOCOL
TEXT MESSAGING	SECOND GENERATION
DEVICE	EMBEDDED VOICE OVER INTERNET PROTOCOL PHONE
INTERNET	FILE TRANSFER PROTOCOL
MACHINE	PROTOCOL
ROUTER	TIER-2 INTERNET SERVICE PROVIDER
DECRYPT	DIGITAL SIGNATURE
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK	VOICE OVER INTERNET PROTOCOL
EXTENSIBLE MARKUP LANGUAGE	HYPERTEXT MARKUP LANGUAGE
MESSAGE	INSTANT MESSAGING
ATTACK	DENIAL OF SERVICE ATTACK
COMBINE NETWORK	SWITCH
FILE TRANSFER PROTOCOL	PROXY SERVER
LINKEDDOCUMENTS	HYPERTEXT
PROGRAM	VIRUS
ACCESS INTERNET SERVICE PROVIDER	HOST
COMPUTER	WEBSERVER
NETWORK	CLUSTER COMPUTE
NOTATIONAL SYSTEM	EXTENSIBLE MARKUP LANGUAGE
NETWORK	COLLISION AVOIDANCE
HYPERTEXT MARKUP LANGUAGE	EXTENSIBLE MARKUP LANGUAGE
NETWORK CLASSIFICATIONS	PERSONAL AREA NETWORK
VOICE OVER INTERNET PROTOCOL	SKYPE
CLIENT/SERVER MODEL	CLIENT
CLIENT	SERVER-SIDE ACTIVITY
APPLICATION	NEWSREADER APPLICATION
INTERNET	TRANSPORT LAYER
CLUSTER COMPUTE	GRID COMPUTE
ADDRESS	INTERNET PROTOCOL ADDRESS
WORLD WIDE WEB	WORLD WIDE SEMANTIC WEB
SNIFF	PHISHING
INTERNET INFRASTRUCTURE	VOICE OVER INTERNET PROTOCOL
PROTOCOL	WORLD WIDE WEB
DEVICE	END SYSTEM
WEBSERVER	JAVASERVER PAGE
NETWORK	PHONE NETWORK
ETHERNET NETWORK	CARRIER SENSE
TECHNOLOGY	WIFI TECHNOLOGY
WEBPAGE	HEAD
MESSAGE	SWITCH
HYPERTEXT	BROWSER
HYPERTEXT TRANSFER PROTOCOL	HTTPS
DISTRIBUTED SYSTEM	DISTRIBUTED COMPUTE SYSTEM
INTERNET	INTERNET MAIL ACCESS PROTOCOL
TRANSPORT LAYER	LINK LAYER
HYPERTEXT TRANSFER PROTOCOL	UNIFORM RESOURCE LOCATOR
SERVER	WEBSERVERS
TECHNOLOGY	DIGITAL TECHNOLOGY
PROXY SERVER	FILE TRANSFER PROTOCOL PROXY SERVER
THEFT OF INFORMATION	COMPUTER FRAUD AND ABUSE ACT
MASS STORAGE	POST OFFICE PROTOCOL VERSION 3
MAIL SERVER	TRANSMISSION CONTROL PROTOCOL
TRANSPORT LAYER	PACKET
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE	INTERNET
ROUTER	HOP COUNT
STREAMING	CONTENT DELIVERY NETWORK
CLIENT/SERVER MODEL	CLIENT-SIDE ACTIVITY
SYSTEM	PEER-TO-PEER MODEL
EMAIL	POST OFFICE PROTOCOL VERSION 3
